gpu_pipeline session log
timestamp: Wed Sep  3 22:14:48 2025
input_dir: "data"
output_dir: "outputs/run_streams"
ops: gauss,sobel,histeq
OK   small_1498.pgm -> small_1498.pgm
OK   small_208.pgm -> small_208.pgm
OK   small_828.pgm -> small_828.pgm
OK   small_970.pgm -> small_970.pgm
OK   small_502.pgm -> small_502.pgm
OK   small_1054.pgm -> small_1054.pgm
OK   small_163.pgm -> small_163.pgm
OK   small_1435.pgm -> small_1435.pgm
OK   small_1847.pgm -> small_1847.pgm
OK   small_1392.pgm -> small_1392.pgm
OK   small_1896.pgm -> small_1896.pgm
OK   small_1343.pgm -> small_1343.pgm
OK   small_615.pgm -> small_615.pgm
OK   small_1085.pgm -> small_1085.pgm
OK   small_1722.pgm -> small_1722.pgm
OK   small_274.pgm -> small_274.pgm
OK   small_929.pgm -> small_929.pgm
OK   small_1184.pgm -> small_1184.pgm
OK   small_1623.pgm -> small_1623.pgm
OK   small_375.pgm -> small_375.pgm
OK   small_1997.pgm -> small_1997.pgm
OK   small_1242.pgm -> small_1242.pgm
OK   small_714.pgm -> small_714.pgm
OK   small_062.pgm -> small_062.pgm
OK   small_1534.pgm -> small_1534.pgm
OK   small_1946.pgm -> small_1946.pgm
OK   small_1293.pgm -> small_1293.pgm
OK   small_871.pgm -> small_871.pgm
OK   small_403.pgm -> small_403.pgm
OK   small_1155.pgm -> small_1155.pgm
OK   small_146.pgm -> small_146.pgm
OK   small_1862.pgm -> small_1862.pgm
OK   small_1410.pgm -> small_1410.pgm
OK   small_527.pgm -> small_527.pgm
OK   small_955.pgm -> small_955.pgm
OK   small_280.pgm -> small_280.pgm
OK   small_1071.pgm -> small_1071.pgm
OK   small_1707.pgm -> small_1707.pgm
OK   small_984.pgm -> small_984.pgm
OK   small_251.pgm -> small_251.pgm
OK   small_1366.pgm -> small_1366.pgm
OK   small_197.pgm -> small_197.pgm
OK   small_630.pgm -> small_630.pgm
OK   small_309.pgm -> small_309.pgm
OK   small_768.pgm -> small_768.pgm
OK   small_1599.pgm -> small_1599.pgm
OK   small_1548.pgm -> small_1548.pgm
OK   small_1129.pgm -> small_1129.pgm
OK   small_141.pgm -> small_141.pgm
OK   small_1417.pgm -> small_1417.pgm
OK   small_1865.pgm -> small_1865.pgm
OK   small_287.pgm -> small_287.pgm
OK   small_952.pgm -> small_952.pgm
OK   small_520.pgm -> small_520.pgm
OK   small_1076.pgm -> small_1076.pgm
OK   small_1700.pgm -> small_1700.pgm
OK   small_256.pgm -> small_256.pgm
OK   small_983.pgm -> small_983.pgm
OK   small_1361.pgm -> small_1361.pgm
OK   small_637.pgm -> small_637.pgm
OK   small_190.pgm -> small_190.pgm
OK   small_1658.pgm -> small_1658.pgm
OK   small_1239.pgm -> small_1239.pgm
