filename,op,ms
small_131.pgm,gauss,0.01024
small_131.pgm,sobel,0.00512
small_131.pgm,histeq,0.0256
small_069.pgm,gauss,0.01024
small_069.pgm,sobel,0.00512
small_069.pgm,histeq,0.03072
small_136.pgm,gauss,0.011264
small_136.pgm,sobel,0.006144
small_136.pgm,histeq,0.0256
small_012.pgm,gauss,0.01024
small_012.pgm,sobel,0.00512
small_012.pgm,histeq,0.0256
small_138.pgm,gauss,0.01024
small_138.pgm,sobel,0.006144
small_138.pgm,histeq,0.026624
small_060.pgm,gauss,0.01024
small_060.pgm,sobel,0.00512
small_060.pgm,histeq,0.026624
small_144.pgm,gauss,0.01024
small_144.pgm,sobel,0.00512
small_144.pgm,histeq,0.026624
small_195.pgm,gauss,0.01024
small_195.pgm,sobel,0.00512
small_195.pgm,histeq,0.026624
small_143.pgm,gauss,0.01024
small_143.pgm,sobel,0.00512
small_143.pgm,histeq,0.026624
small_192.pgm,gauss,0.011264
small_192.pgm,sobel,0.00512
small_192.pgm,histeq,0.026624
small_067.pgm,gauss,0.01024
small_067.pgm,sobel,0.00512
small_067.pgm,histeq,0.026624
TOTAL_MS,all,43.342
